expand_abbreviations,keep_usernames,keep_negation,use_attention,use_hidden_states,one_hot,max_length,val_accuracy
True,True,True,True,True,True,30,0.8014744602422328
True,True,True,True,True,True,50,0.79884149552396
True,True,True,True,True,False,30,0.8006845708267509
True,True,True,True,True,False,50,0.7833070036861506
True,True,True,True,False,True,30,0.8001579778830964
True,True,True,True,False,True,50,0.7969984202211691
True,True,True,True,False,False,30,0.7962085308056872
True,True,True,True,False,False,50,0.7935755660874144
True,True,True,False,True,True,30,0.7867298578199052
True,True,True,False,True,True,50,0.7888362295945235
True,True,True,False,True,False,30,0.7917324907846235
True,True,True,False,True,False,50,0.7872564507635598
True,True,True,False,False,True,30,0.7991047919957872
True,True,True,False,False,True,50,0.7951553449183781
True,True,True,False,False,False,30,0.7877830437072143
True,True,True,False,False,False,50,0.7688256977356503
True,True,False,True,True,True,30,0.7380200105318588
True,True,False,True,True,True,50,0.7451290152711953
True,True,False,True,True,False,30,0.7374934175882043
True,True,False,True,True,False,50,0.7482885729331227
True,True,False,True,False,True,30,0.7335439705107951
True,True,False,True,False,True,50,0.7501316482359136
True,True,False,True,False,False,30,0.7369668246445498
True,True,False,True,False,False,50,0.7414428646656135
True,True,False,False,True,True,30,0.7453923117430227
True,True,False,False,True,True,50,0.7464454976303317
True,True,False,False,True,False,30,0.7417061611374408
True,True,False,False,True,False,50,0.7356503422854134
True,True,False,False,False,True,30,0.7451290152711953
True,True,False,False,False,True,50,0.7374934175882043
True,True,False,False,False,False,30,0.7414428646656135
True,True,False,False,False,False,50,0.7340705634544498
True,False,True,True,True,True,30,0.7864665613480779
True,False,True,True,True,True,50,0.7962085308056872
True,False,True,True,True,False,30,0.789362822538178
True,False,True,True,True,False,50,0.7888362295945235
True,False,True,True,False,True,30,0.7838335966298051
True,False,True,True,False,True,50,0.7877830437072143
True,False,True,True,False,False,30,0.792259083728278
True,False,True,True,False,False,50,0.7622432859399684
True,False,True,False,True,True,30,0.7927856766719326
True,False,True,False,True,True,50,0.7830437072143234
True,False,True,False,True,False,30,0.7890995260663507
True,False,True,False,True,False,50,0.7896261190100052
True,False,True,False,False,True,30,0.7980516061084781
True,False,True,False,False,True,50,0.7998946814112691
True,False,True,False,False,False,30,0.7806740389678778
True,False,True,False,False,False,50,0.7975250131648236
True,False,False,True,True,True,30,0.7464454976303317
True,False,False,True,True,True,50,0.7459189046866772
True,False,False,True,True,False,30,0.7496050552922591
True,False,False,True,True,False,50,0.7209057398630858
True,False,False,True,False,True,30,0.7335439705107951
True,False,False,True,False,True,50,0.735387045813586
True,False,False,True,False,False,30,0.7527646129541864
True,False,False,True,False,False,50,0.7480252764612955
True,False,False,False,True,True,30,0.7322274881516587
True,False,False,False,True,True,50,0.7424960505529226
True,False,False,False,True,False,30,0.740916271721959
True,False,False,False,True,False,50,0.7380200105318588
True,False,False,False,False,True,30,0.7464454976303317
True,False,False,False,False,True,50,0.7340705634544498
True,False,False,False,False,False,30,0.7351237493417588
True,False,False,False,False,False,50,0.7359136387572407
False,True,True,True,True,True,30,0.8006845708267509
False,True,True,True,True,True,50,0.7948920484465508
False,True,True,True,True,False,30,0.7917324907846235
False,True,True,True,True,False,50,0.7814639283833597
False,True,True,True,False,True,30,0.7812006319115324
False,True,True,True,False,True,50,0.8038441284886783
False,True,True,True,False,False,30,0.7948920484465508
False,True,True,True,False,False,50,0.7848867825171143
False,True,True,False,True,True,30,0.7775144813059505
False,True,True,False,True,True,50,0.7812006319115324
False,True,True,False,True,False,30,0.7706687730384413
False,True,True,False,True,False,50,0.7880463401790416
False,True,True,False,False,True,30,0.7909426013691416
False,True,True,False,False,True,50,0.7998946814112691
False,True,True,False,False,False,30,0.8001579778830964
False,True,True,False,False,False,50,0.7783043707214323
False,True,False,True,True,True,30,0.7456556082148499
False,True,False,True,True,True,50,0.7517114270668773
False,True,False,True,True,False,30,0.7488151658767772
False,True,False,True,True,False,50,0.7435492364402317
False,True,False,True,False,True,30,0.7411795681937862
False,True,False,True,False,True,50,0.7427593470247499
False,True,False,True,False,False,30,0.7448657187993681
False,True,False,True,False,False,50,0.7309110057925223
False,True,False,False,True,True,30,0.7451290152711953
False,True,False,False,True,True,50,0.7364402317008952
False,True,False,False,True,False,30,0.7448657187993681
False,True,False,False,True,False,50,0.7311743022643497
False,True,False,False,False,True,30,0.7488151658767772
False,True,False,False,False,True,50,0.7556608741442865
False,True,False,False,False,False,30,0.7459189046866772
False,True,False,False,False,False,50,0.7388098999473407
False,False,True,True,True,True,30,0.7948920484465508
False,False,True,True,True,True,50,0.7898894154818326
False,False,True,True,True,False,30,0.7948920484465508
False,False,True,True,True,False,50,0.8020010531858873
False,False,True,True,False,True,30,0.7822538177988415
False,False,True,True,False,True,50,0.7998946814112691
False,False,True,True,False,False,30,0.778041074249605
False,False,True,True,False,False,50,0.789362822538178
False,False,True,False,True,True,30,0.7801474460242233
False,False,True,False,True,True,50,0.7919957872564508
False,False,True,False,True,False,30,0.7746182201158505
False,False,True,False,True,False,50,0.7814639283833597
False,False,True,False,False,True,30,0.7875197472353871
False,False,True,False,False,True,50,0.7969984202211691
False,False,True,False,False,False,30,0.7885729331226962
False,False,True,False,False,False,50,0.8020010531858873
False,False,False,True,True,True,30,0.7503949447077409
False,False,False,True,True,True,50,0.7414428646656135
False,False,False,True,True,False,30,0.7530279094260137
False,False,False,True,True,False,50,0.732490784623486
False,False,False,True,False,True,30,0.7503949447077409
False,False,False,True,False,True,50,0.7506582411795681
False,False,False,True,False,False,30,0.7403896787783044
False,False,False,True,False,False,50,0.731437598736177
False,False,False,False,True,True,30,0.7377567140600316
False,False,False,False,True,True,50,0.7290679304897314
False,False,False,False,True,False,30,0.7440758293838863
False,False,False,False,True,False,50,0.7227488151658767
False,False,False,False,False,True,30,0.7498683517640864
False,False,False,False,False,True,50,0.7501316482359136
False,False,False,False,False,False,30,0.7464454976303317
False,False,False,False,False,False,50,0.7406529752501316
